point ewma,point Taux FAIL,limite Construction,point loi norm sup,point loi norm inf,Dates,Date_comments,the_comments,Arcs
-0.5236072675276735,-0.7649999999999999,2.0,0.8636319387608327,-0.23129527209416634,2020-12-29,,,282
-0.5718858140221388,-0.675,2.0,0.8636319387608327,-0.23129527209416634,2020-12-30,,,283
-0.5925086512177111,-0.84,2.0,0.8636319387608327,-0.23129527209416634,2020-12-31,,,284
-0.6420069209741689,-0.71,2.0,0.8636319387608327,-0.23129527209416634,2021-01-04,,,285
-0.6556055367793352,-0.69,2.0,0.8636319387608327,-0.23129527209416634,2021-01-05,,,286
-0.6624844294234682,-0.4,2.0,0.8636319387608327,-0.23129527209416634,2021-01-06,,,287
-0.6099875435387745,-0.36,2.0,0.8636319387608327,-0.23129527209416634,2021-01-07,,,288
-0.5599900348310196,-0.37,2.0,0.8636319387608327,-0.23129527209416634,2021-01-08,,,289
-0.5219920278648157,-0.17,2.0,0.8636319387608327,-0.23129527209416634,2021-01-09,,,290
-0.4515936222918526,-0.31,2.0,0.8636319387608327,-0.23129527209416634,2021-01-11,,,291
-0.4232748978334821,-0.51,2.0,0.8636319387608327,-0.23129527209416634,2021-01-12,,,292
-0.4406199182667857,-0.505,2.0,0.8636319387608327,-0.23129527209416634,2021-01-13,,,293
-0.45349593461342863,-0.43,2.0,0.8636319387608327,-0.23129527209416634,2021-01-14,,,294
-0.44879674769074296,-0.18,2.0,0.8636319387608327,-0.23129527209416634,2021-01-15,,,295
-0.39503739815259437,-0.23,2.0,0.8636319387608327,-0.23129527209416634,2021-01-16,,,296
-0.3620299185220755,-0.65,2.0,0.8636319387608327,-0.23129527209416634,2021-01-18,,,297
-0.4196239348176604,-0.44,2.0,0.8636319387608327,-0.23129527209416634,2021-01-19,,,298
-0.4236991478541284,-0.4,2.0,0.8636319387608327,-0.23129527209416634,2021-01-20,,,299
-0.41895931828330274,-0.79,2.0,0.8636319387608327,-0.23129527209416634,2021-01-21,,,300
-0.49316745462664224,-0.89,2.0,0.8636319387608327,-0.23129527209416634,2021-01-22,,,301
-0.5725339637013138,-0.7399999999999999,2.0,0.8636319387608327,-0.23129527209416634,2021-01-25,,,302
-0.6060271709610511,-0.525,2.0,0.8636319387608327,-0.23129527209416634,2021-01-26,,,303
-0.5898217367688409,-0.48,2.0,0.8636319387608327,-0.23129527209416634,2021-01-27,,,304
-0.5678573894150727,-0.75,2.0,0.8636319387608327,-0.23129527209416634,2021-01-28,,,305
-0.6042859115320582,-0.96,2.0,0.8636319387608327,-0.23129527209416634,2021-01-29,,,306
-0.6754287292256467,-0.7,2.0,0.8636319387608327,-0.23129527209416634,2021-02-01,,,307
-0.6803429833805174,-0.68,2.0,0.8636319387608327,-0.23129527209416634,2021-02-02,,,308
-0.6802743867044139,-0.9,2.0,0.8636319387608327,-0.23129527209416634,2021-02-03,,,309
-0.7242195093635312,-0.6,2.0,0.8636319387608327,-0.23129527209416634,2021-02-04,,,310
-0.699375607490825,-1.12,2.0,0.8636319387608327,-0.23129527209416634,2021-02-05,,,311
-0.78350048599266,0.21666666666666665,2.0,0.8636319387608327,-0.23129527209416634,2021-02-08,,,312
-0.5834670554607947,0.5,2.0,0.8636319387608327,-0.23129527209416634,2021-02-09,,,313
-0.3667736443686358,0.31,2.0,0.8636319387608327,-0.23129527209416634,2021-02-10,,,314
-0.23141891549490867,0.55,2.0,0.8636319387608327,-0.23129527209416634,2021-02-11,,,315
-0.07513513239592692,0.92,2.0,0.8636319387608327,-0.23129527209416634,2021-02-12,,,316
0.12389189408325849,0.96,2.0,0.8636319387608327,-0.23129527209416634,2021-02-13,,,317
0.2911135152666068,0.95,2.0,0.8636319387608327,-0.23129527209416634,2021-02-15,,,318
0.42289081221328545,0.7,2.0,0.8636319387608327,-0.23129527209416634,2021-02-16,,,319
0.4783126497706284,0.84,2.0,0.8636319387608327,-0.23129527209416634,2021-02-17,,,320
0.5506501198165027,0.61,2.0,0.8636319387608327,-0.23129527209416634,2021-02-18,,,321
0.5625200958532022,0.78,2.0,0.8636319387608327,-0.23129527209416634,2021-02-19,,,322
0.6060160766825617,0.71,2.0,0.8636319387608327,-0.23129527209416634,2021-02-22,,,323
0.6268128613460494,0.88,2.0,0.8636319387608327,-0.23129527209416634,2021-02-23,,,324
0.6774502890768396,0.81,2.0,0.8636319387608327,-0.23129527209416634,2021-02-24,,,325
0.7039602312614717,0.89,2.0,0.8636319387608327,-0.23129527209416634,2021-02-25,,,326
0.7411681850091774,0.98,2.0,0.8636319387608327,-0.23129527209416634,2021-02-26,,,327
0.788934548007342,0.77,2.0,0.8636319387608327,-0.23129527209416634,2021-03-01,,,328
0.7851476384058736,0.67,2.0,0.8636319387608327,-0.23129527209416634,2021-03-02,,,329
0.7621181107246989,0.65,2.0,0.8636319387608327,-0.23129527209416634,2021-03-03,,,330
0.7396944885797592,1.0350000000000001,2.0,0.8636319387608327,-0.23129527209416634,2021-03-04,,,331
0.7987555908638074,1.42,2.0,0.8636319387608327,-0.23129527209416634,2021-03-05,,,332
0.923004472691046,1.23,2.0,0.8636319387608327,-0.23129527209416634,2021-03-08,,,333
0.9844035781528369,0.88,2.0,0.8636319387608327,-0.23129527209416634,2021-03-09,,,334
0.9635228625222696,0.96,2.0,0.8636319387608327,-0.23129527209416634,2021-03-10,,,335
0.9628182900178157,0.48,2.0,0.8636319387608327,-0.23129527209416634,2021-03-11,,,336
0.8662546320142526,0.92,2.0,0.8636319387608327,-0.23129527209416634,2021-03-12,,,337
0.8770037056114022,0.47,2.0,0.8636319387608327,-0.23129527209416634,2021-03-13,,,338
0.7956029644891217,0.41,2.0,0.8636319387608327,-0.23129527209416634,2021-03-15,,,339
0.7184823715912974,0.92,2.0,0.8636319387608327,-0.23129527209416634,2021-03-16,,,340
0.7587858972730379,0.735,2.0,0.8636319387608327,-0.23129527209416634,2021-03-17,,,341
0.7540287178184304,0.71,2.0,0.8636319387608327,-0.23129527209416634,2021-03-18,,,342
0.7452229742547444,0.95,2.0,0.8636319387608327,-0.23129527209416634,2021-03-19,,,343
0.7861783794037955,0.79,2.0,0.8636319387608327,-0.23129527209416634,2021-03-22,,,344
0.7869427035230365,0.82,2.0,0.8636319387608327,-0.23129527209416634,2021-03-23,,,345
0.7935541628184293,0.82,2.0,0.8636319387608327,-0.23129527209416634,2021-03-24,,,346
0.7988433302547435,0.6,2.0,0.8636319387608327,-0.23129527209416634,2021-03-25,,,347
0.7590746642037949,0.69,2.0,0.8636319387608327,-0.23129527209416634,2021-03-26,,,348
0.7452597313630359,0.79,2.0,0.8636319387608327,-0.23129527209416634,2021-03-29,,,349
0.7542077850904287,0.44999999999999996,2.0,0.8636319387608327,-0.23129527209416634,2021-03-30,,,350
0.693366228072343,0.57,2.0,0.8636319387608327,-0.23129527209416634,2021-03-31,,,351
0.6686929824578745,0.495,2.0,0.8636319387608327,-0.23129527209416634,2021-04-01,,,352
0.6339543859662996,0.57,2.0,0.8636319387608327,-0.23129527209416634,2021-04-02,,,353
0.6211635087730397,0.05,2.0,0.8636319387608327,-0.23129527209416634,2021-04-06,,,354
0.5069308070184317,0.45999999999999996,2.0,0.8636319387608327,-0.23129527209416634,2021-04-07,,,355
0.49754464561474543,1.0,2.0,0.8636319387608327,-0.23129527209416634,2021-04-08,,,356
0.5980357164917964,0.54,2.0,0.8636319387608327,-0.23129527209416634,2021-04-09,,,357
0.5864285731934372,0.82,2.0,0.8636319387608327,-0.23129527209416634,2021-04-12,,,358
0.6331428585547498,0.86,2.0,0.8636319387608327,-0.23129527209416634,2021-04-13,,,359
0.6785142868437999,0.82,2.0,0.8636319387608327,-0.23129527209416634,2021-04-14,,,360
0.7068114294750399,0.74,2.0,0.8636319387608327,-0.23129527209416634,2021-04-15,,,361
0.713449143580032,0.65,2.0,0.8636319387608327,-0.23129527209416634,2021-04-16,,,362
0.7007593148640257,0.3,2.0,0.8636319387608327,-0.23129527209416634,2021-04-17,,,363
0.6206074518912206,0.09,2.0,0.8636319387608327,-0.23129527209416634,2021-04-19,,,364
0.5144859615129764,0.24,2.0,0.8636319387608327,-0.23129527209416634,2021-04-20,,,365
0.45958876921038117,0.14,2.0,0.8636319387608327,-0.23129527209416634,2021-04-21,,,366
0.39567101536830496,0.51,2.0,0.8636319387608327,-0.23129527209416634,2021-04-22,,,367
0.418536812294644,-0.04,2.0,0.8636319387608327,-0.23129527209416634,2021-04-23,,,368
0.3268294498357152,0.26,2.0,0.8636319387608327,-0.23129527209416634,2021-04-26,,,369
0.31346355986857216,0.29,2.0,0.8636319387608327,-0.23129527209416634,2021-04-27,,,370
0.30877084789485776,0.13,2.0,0.8636319387608327,-0.23129527209416634,2021-04-28,,,371
0.2730166783158862,-0.19,2.0,0.8636319387608327,-0.23129527209416634,2021-04-29,,,372
0.18041334265270897,-0.03,2.0,0.8636319387608327,-0.23129527209416634,2021-04-30,,,373
0.13833067412216718,0.09,2.0,0.8636319387608327,-0.23129527209416634,2021-05-03,,,374
0.12866453929773375,0.13,2.0,0.8636319387608327,-0.23129527209416634,2021-05-04,,,375
0.128931631438187,0.01,2.0,0.8636319387608327,-0.23129527209416634,2021-05-05,,,376
0.10514530515054961,-0.08,2.0,0.8636319387608327,-0.23129527209416634,2021-05-06,,,377
0.06811624412043969,0.02,2.0,0.8636319387608327,-0.23129527209416634,2021-05-07,,,378
0.058492995296351755,0.23,2.0,0.8636319387608327,-0.23129527209416634,2021-05-10,,,379
0.09279439623708141,-0.1,2.0,0.8636319387608327,-0.23129527209416634,2021-05-11,,,380
0.054235516989665125,-0.09,2.0,0.8636319387608327,-0.23129527209416634,2021-05-12,,,381
0.025388413591732103,-0.01,2.0,0.8636319387608327,-0.23129527209416634,2021-05-14,,,382
0.01831073087338568,-0.22,2.0,0.8636319387608327,-0.23129527209416634,2021-05-17,,,383
-0.02935141530129146,-0.06,2.0,0.8636319387608327,-0.23129527209416634,2021-05-18,,,384
-0.035481132241033164,0.14,2.0,0.8636319387608327,-0.23129527209416634,2021-05-19,,,385
